company,dif,timestamp
ENDESA,3.07,15:51:09
FERROVIAL,0.08,15:52:27
FLUIDRA,1.4,15:51:44
GRIFOLS CL.A,0.84,15:51:44
IAG,0.83,15:51:54
IBERDROLA,4.44,15:52:15
INDITEX,1.46,15:51:41
INM.COLONIAL,0.84,15:51:25
MAPFRE,1.29,15:50:24
MELIA HOTELS,0.83,15:51:42
NATURGY,3.42,15:52:23
PHARMA MAR,1.68,15:51:50
R.E.C.,2.27,15:52:16
REPSOL,2.65,15:52:27
ROVI,0.15,15:52:00
SIEMENS GAME,7.77,15:51:32
SOLARIA,6.57,15:52:20
TELEFONICA,1.15,15:52:02
ACERINOX,-1.52,15:51:08
AENA,-0.21,15:47:11
ARCELORMIT.,-2.92,15:52:17
B.SANTANDER,-1.13,15:51:36
BA.SABADELL,-0.24,15:51:38
BBVA,-1.8,15:52:25
CIE AUTOMOT.,-2.72,15:52:18
INDRA A,-1.25,15:51:53
ACCIONA,3.83,15:51:53
ACS,0.37,15:52:49
ALMIRALL,2.49,15:52:56
AMADEUS,0.51,15:51:19
BANKINTER,0.15,15:52:55
CAIXABANK,1.15,15:52:47
CELLNEX,2.66,15:52:56
ENAGAS,0.79,15:52:46
ENDESA,3.07,15:52:56
FERROVIAL,0.08,15:51:09
FLUIDRA,1.4,15:52:58
GRIFOLS CL.A,0.84,15:52:46
IAG,0.86,15:52:32
IBERDROLA,4.44,15:52:52
INDITEX,1.46,15:52:15
INM.COLONIAL,0.84,15:52:51
MAPFRE,1.29,15:51:25
MELIA HOTELS,0.83,15:50:24
MERLIN,0.09,15:51:42
NATURGY,3.42,15:52:52
PHARMA MAR,1.68,15:51:50
R.E.C.,2.27,15:52:49
REPSOL,2.65,15:52:27
ROVI,0.15,15:52:00
SIEMENS GAME,7.83,15:51:32
SOLARIA,6.66,15:52:50
TELEFONICA,1.15,15:52:33
ACERINOX,-1.46,15:51:08
AENA,-0.21,15:47:11
ARCELORMIT.,-2.91,15:52:17
B.SANTANDER,-1.19,15:52:54
BA.SABADELL,-0.27,15:51:38
